"tag1","tag2","title","link","journal","time","abstract"
"epidemiology","","Clinical Characteristics of Coronavirus Pneumonia 2019 (COVID-19): An Updated Systematic Review","https://www.medrxiv.org/content/10.1101/2020.03.07.20032573v2","medRxiv","2020/3/7","OBJECTIVEClinical characteristics of novel coronavirus pneumonia (COVID-19) have been described in numerous studies but yielded varying results. We aimed to conduct a systematic review on scientific literatures and to synthesize critical data on clinical traits of COVID-19 from its initial outbreak to pandemic.METHODSSystematic searches were conducted to identify retrospective observational study that contained clinical characteristics on COVID-19 through multiple databases. Two reviewers independently evaluated eligible publications. Data on clinical characteristics of COVID-19 were extracted and analyzed.RESULTSSeventy-two retrospective studies demonstrating the clinical characteristics of COVID-19 were included. A total of 3470 COVID-19 patients were synthesized to the final analysis in an unbiased manner. The most common symptom was fever (2878 [83.0%]), and 63.4% of the patients presented fever as onset symptom. There were 2528 [88.2%] of 2866 cases had abnormal lung findings on chest CT scan. Laboratory findings showed that 1498 [62.8%] of 2387 cases had lymphopenia, and 1354 [64.8%] of 2091 cases had an increased level of C-reactive protein (CRP). A total of 185 [11.5%] patients were admitted to intensive care unit (ICU) while the overall case fatality rate (CFR) was 3.7%. Compared to patients admitted outside of Hubei, China, those from Hubei had a significant higher ICU admission rate (21.9% vs. 2.5%, p<0.001). Also, CFR attributed to COVID-19 was significantly higher in Hubei than that of non-Hubei admissions (10.4% vs. 0.6%, p<0.001). INTERPRETATIONThis large patient-based systematic review presents a more precise profiling of the COVID-19 from its outbreak to current pandemic. Dynamic evolvements of COVID-19 are needed to be characterized in future studies."
"diagnosis","","Development of Reverse Transcription Loop-mediated Isothermal Amplification (RT-LAMP) Assays Targeting SARS-CoV-2","https://www.biorxiv.org/content/10.1101/2020.03.09.983064v1","bioRxiv","2020/3/9","Epidemics of Coronavirus Disease 2019 (COVID-19) now have more than 100,000 confirmed cases worldwide. Diagnosis of COVID-19 is currently performed by RT-qPCR methods, but the capacity of RT-qPCR methods is limited by its requirement of high-level facilities and instruments. Here, we developed and evaluated RT-LAMP assays to detect genomic RNA of SARS-CoV-2, the causative virus of COVID-19. RT-LAMP assays in this study can detect as low as 100 copies of SARS-CoV-2 RNA. Cross-reactivity of RT-LAMP assays to other human Coronaviruses was not observed. We also adapted a colorimetric detection method for our RT-LAMP assay so that the tests potentially performed in higher throughput."
"epidemiology","","Topological dynamics of the 2015 South Korea MERS-CoV spread-on-contact networks","https://www.nature.com/articles/s41598-020-61133-9","Scientific Reports","2020/3/9","Network analysis to examine infectious contact relations provides an important means to uncover the topologies of individual infectious contact networks. This study aims to investigate the spread of diseases among individuals over contact networks by exploring the 2015 Middle East Respiratory Syndrome (MERS) outbreak in Korea. We present several distinct features of MERS transmission by employing a comprehensive approach in network research to examine both the traced relationship matrix of infected individuals and their bipartite transmission routes among healthcare facilities visited for treatment. The results indicate that a few super-spreaders were more likely to hold certain structural advantages by linking to an exceptional number of other individuals, causing several ongoing transmission events in neighbourhoods without the aid of any intermediary. Thus, the infectious contact network exhibited small-world dynamics characterised by locally clustered contacts exposed to transmission paths via short path lengths. In addition, nosocomial infection analysis shows the pattern of a common-source outbreak followed by secondary person-to-person transmission of the disease. Based on the results, we suggest policy implications related to the redesign of prevention and control strategies against the spread of epidemics."
"clinic","diagnosis","Analysis of early renal injury in COVID-19 and diagnostic value of multi-index combined detection","https://www.medrxiv.org/content/10.1101/2020.03.07.20032599v2","medRxiv","2020/3/7","ObjectivesThe aim of the study was to analyze the incidence of COVID-19 with early renal injury, and to explore the value of multi-index combined detection in diagnosis of early renal injury in COVID-19.DesignThe study was an observational, descriptive study.SettingThis study was carried out in a tertiary hospital in Guangdong, China.Participants12 patients diagnosed with COVID-19 from January 20, 2020 to February 20, 2020.Primary and secondary outcome measuresThe primary outcome was to evaluate the incidence of early renal injury in COVID-19. In this study, the estimated glomerular filtration rate (eGFR), endogenous creatinine clearance (Ccr) and urine microalbumin / urinary creatinine ratio (UACR) were calculated to assess the incidence of early renal injury. Secondary outcomes were the diagnostic value of urine microalbumin (UMA),  1-microglobulin (A1M), urine immunoglobulin-G (IGU), urine transferring (TRU) alone and in combination in diagnosis of COVID-19 with early renal injury.Results While all patients had no significant abnormalities in serum creatinine (Scr) and blood urea nitrogen (BUN), the abnormal rates of eGFR, Ccr, and UACR were 66.7%, 41.7%, and 41.7%, respectively. Urinary microprotein detection indicated that the area under curve (AUC) of multi-index combined to diagnose early renal injury in COVID-19 was 0.875, which was higher than UMA (0,813), A1M (0.813), IGU (0.750) and TRU (0.750) alone. Spearman analysis showed that the degree of early renal injury was significantly related to C-reactive protein (CRP) and neutrophil ratio (NER), suggesting that the more severe the infection, the more obvious the early renal injury. Hypokalemia and hyponatremia were common in patients with COVID-19, and there was a correlation with the degree of renal injury.ConclusionsEarly renal injury was common in patients with COVID-19. Combined detection of UMA, A1M, IGU, and TRU was helpful for the diagnosis of early renal injury in COVID-19."
"diagnosis","clinic","Monitoring Crimean-Congo haemorrhagic fever virus RNA shedding in body secretions and serological status in hospitalised patients, Turkey, 2015","https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.10.1900284#abstract_content","Eurosurveillance","2020/3/12","This observational, prospective case series aimed to investigate detectable viral genomic RNA in whole-body fluids and antibody dynamics in consecutive daily samples of patients diagnosed with CCHF until discharge from hospital."
"pathogenic","medicine","A population pharmacokinetic model for escitalopram and its major metabolite in depressive patients during the perinatal period: prediction of infant drug exposure through breast milk","https://onlinelibrary.wiley.com/doi/10.1111/bcp.14278","British Journal of Clinical Pharmacology","2020/3/12","Escitalopram (SCIT) is frequently prescribed to breastfeeding women. Available information on SCIT excretion into breast milk is based on heterogeneous and incomplete data. A population pharmacokinetic model aiming to better characterize maternal and infant exposure to SCIT and its metabolite was developed."
"pathogenic","epidemiology","Surveillance and Taxonomic Analysis of the Coronavirus Dominant in Pigeons in China","https://onlinelibrary.wiley.com/doi/10.1111/tbed.13541","Transboundary and Emerging Diseases","2020/3/12","Coronaviruses (CoVs) are found in humans and a wide variety of wild and domestic animals, and of substantial impact on human and animal health. In poultry, the genetic diversity, evolution, distribution, and taxonomy of CoVs dominant in birds other than chickens remain enigmatic. In our previous study, we proposed that the CoVs dominant (i.e., mainly circulating) in ducks (DdCoVs) should represent a novel species, which was different from the one represented by the CoVs dominant in chickens (CdCoVs). In this study, we conducted a large\scale surveillance of CoVs in chickens, ducks, geese, pigeons and other birds (quails, sparrows and partridges) using a conserved RT\PCR assay. The surveillance demonstrated that CdCoVs, DdCoVs and the CoVs dominant in pigeons (PdCoVs) belong to different lineages, and they are all prevalent in live poultry markets and the backyard flocks in some regions of China. We further sequenced seven Coronaviridae\wide conserved domains in their replicase polyprotein pp1ab of seven PdCoVs, and found that the genetic distances in these domains between PdCoVs and DdCoVs or CdCoVs are large enough to separate PdCoVs into a novel species, which were different from the ones represented by DdCoVs or CdCoVs within the genus Gammacoronavirus, per the species demarcation criterion of International Committee on Taxonomy of Viruses. This report shed novel insight into the genetic diversity, distribution, evolution, and taxonomy of avian CoVs."
"virus","epidemiology","From SARS and MERS CoVs to SARS\CoV\2: moving toward more biased codon usage in viral structural and non\structural genes","https://onlinelibrary.wiley.com/doi/10.1002/jmv.25754","Journal of Medical Virology","2020/3/11","SARS\CoV\2 is an emerging disease with fatal outcomes. In this study, a fundamental knowledge gap question is to be resolved by evaluating the differences in biological and pathogenic aspects of SARS\CoV\2 and the changes in SARS\CoV\2 in comparison with the two prior major COV epidemics, SARS and MERS coronaviruses."
"virus","","Larger viral genome size facilitates emergence of zoonotic diseases","https://www.biorxiv.org/content/10.1101/2020.03.10.986109v1","bioRxiv","2020/3/10","Emergence of new viral diseases is linked to mutation or recombination events.  The likelihood of cross-species transmission is related to phenotypic plasticity of a virus and its capacity to produce genetically variable progeny.  Herein a model is described connecting the production of genetic variability with increasing genome size.  Comparing all known zoonotic viral genome sizes to known non-zoonotic viral genome sizes demonstrates that zoonotic viruses have significantly larger genomes.  These results support the notion that large viral genomes are important in producing new zoonotic disease, and suggest that genome size may be a useful surrogate in screening for potential zoonotic viruses."
"pathogenic","","The SARS-CoV-2 exerts a distinctive strategy for interacting with the ACE2 human receptor","https://www.biorxiv.org/content/10.1101/2020.03.10.986398v1","bioRxiv","2020/3/10","The COVID-19 disease has plagued over 110 countries and has resulted in over 4,000 deaths within 10 weeks. We compare the interaction between the human ACE2 receptor and the SARS-CoV-2 spike protein with that of other pathogenic coronaviruses using molecular dynamics simulations. SARS-CoV, SARS-CoV-2, and HCoV-NL63 recognize ACE2 as the natural receptor but present a distinct binding interface to ACE2 and a different network of residue-residue contacts. SARS-CoV and SARS-CoV-2 have comparable binding affinities achieved by balancing energetics and dynamics. The SARS-CoV-2 - ACE2 complex contains a higher number of contacts, a larger interface area, and decreased interface residue fluctuations relative to SARS-CoV. These findings expose an exceptional evolutionary exploration exerted by coronaviruses toward host recognition. We postulate that the versatility of cell receptor binding strategies has immediate implications on therapeutic strategies."
"epidemiology","","Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1","https://www.medrxiv.org/content/10.1101/2020.03.09.20033217v1","medRxiv","2020/3/9","HCoV-19 (SARS-2) has caused >88,000 reported illnesses with a current case-fatality ratio of ~2%. Here, we investigate the stability of viable HCoV-19 on surfaces and in aerosols in comparison with SARS-CoV-1. Overall, stability is very similar between HCoV-19 and SARS-CoV-1. We found that viable virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel. HCoV-19 and SARS-CoV-1 exhibited similar half-lives in aerosols, with median estimates around 2.7 hours. Both viruses show relatively long viability on stainless steel and polypropylene compared to copper or cardboard: the median half-life estimate for HCoV-19 is around 13 hours on steel and around 16 hours on polypropylene. Our results indicate that aerosol and fomite transmission of HCoV-19 is plausible, as the virus can remain viable in aerosols for multiple hours and on surfaces up to days."
"pathogenic","","Autism\associated PTEN missense mutation leads to enhanced nuclear localization and neurite outgrowth in an induced pluripotent stem cell line","https://onlinelibrary.wiley.com/doi/10.1111/febs.15287","The FEBS Journal","2020/3/9","Germline mutation in the PTEN gene is the genetic basis of PTEN hamartoma tumor syndrome with the affected individuals harboring features of autism spectrum disorders. Characterizing a panel of 14 autism\associated PTEN missense mutations revealed reduced protein stability, catalytic activity, and subcellular distribution. Nine out of 14 (64%) PTEN missense mutants had reduced protein expression with most mutations confined to the C2 domain. Selected mutants displayed enhanced polyubiquitination and shortened protein half\life, but that did not appear to involve the polyubiquitination sites at lysine residues at codon 13 or 289. Analyzing their intrinsic lipid phosphatase activities revealed that 78% (11 out of 14) of these mutants had 2\ to 10\fold reduction in catalytic activity toward phosphatidylinositol phosphate substrates. Analyzing the subcellular localization of the PTEN missense mutants showed that 64% (9 out of 14) had altered nuclear\to\cytosol ratios with four mutants (G44D, H123Q, E157G, and D326N) showing greater nuclear localization. The E157G mutant was knocked\in to an induced pluripotent stem cell line and recapitulated a similar nuclear targeting preference. Furthermore, iPSCs expressing the E157G mutant were more proliferative at the neural progenitor cell stage but exhibited more extensive dendritic outgrowth. In summary, the combination of biological changes in PTEN is expected to contribute to the behavioral and cellular features of this neurodevelopmental disorder."
"virus","","Tilorone: A Broad-Spectrum Antiviral For Emerging Viruses","https://www.biorxiv.org/content/10.1101/2020.03.09.984856v1","bioRxiv","2020/3/9","Tilorone is a 50-year-old synthetic small-molecule compound with antiviral activity that is proposed to induce interferon after oral administration. This drug is used as a broad-spectrum antiviral in several countries of the Russian Federation. We have recently described activity in vitro and in vivo against the Ebola Virus. After a broad screening of additional viruses, we now describe in vitro activity against Chikungunya virus (CHIK) and Middle Eastern Respiratory Syndrome Coronavirus (MERS-CoV)."
"pathogenic","","Unlocking the genomic taxonomy of the Prochlorococcus collective","https://www.biorxiv.org/content/10.1101/2020.03.09.980698v2","bioRxiv","2020/3/9","Prochlorococcus is the most abundant photosynthetic prokaryote on our planet. The extensive ecological literature on the Prochlorococcus collective (PC) is based on the assumption that it comprises one single genus comprising the species Prochlorococcus marinus, containing itself a collective of ecotypes. Ecologists adopt the distributed genome hypothesis of an open pan-genome to explain the observed genomic diversity and evolution patterns of the ecotypes within PC. Novel genomic data for the PC prompted us to revisit this group, applying the current methods used in genomic taxonomy. As a result, we were able to distinguish the five genera: Prochlorococcus, Eurycolium, Prolificoccus, Thaumococcus and Riococcus. The novel genera have distinct genomic and ecological attributes."
"pathogenic","","Genome-centric portrait of the microbes' cellulolytic competency","https://www.biorxiv.org/content/10.1101/2020.03.09.984823v1","bioRxiv","2020/3/9","Neither the abundance of the exo/endoglucase GH modules nor the taxonomy affiliation is informative enough in inferring whether a genome is of a potential cellulolytic microbe or not. By interpreting the complete genomes of 2642 microbe strains whose phenotypes have been well documented, we are trying to reveal a more reliable genotype and phenotype correlation on the specific function niche of cellulose hydrolysis. By incorporating into the annotation approach an automatic recognition of the potential synergy machineries, a more reliable prediction on the corresponding microbes' cellulolytic competency could be achieved. The potential cellulose hydrolyzing microbes could be categorized into 5 groups according to the varying synergy machineries among the carbohydrate active modules/genes annotated. Results of the meta-analysis on the 2642 genomes revealed that some cellulosome gene clusters were in lack of the surface layer homology module (SLH) and microbe strains annotated with such cellulosome gene clusters were not certainly cellulolytic. Hypothesized in this study was that cellulosome-independent genes harboring both the SLH module and the cellulose-binding carbohydrate binding module (CBM) were likely an alternative gene apparatus initiating the formation of the cellulose-enzyme-microbe (CEM) complexes; and their role is important especially for the cellulolytic anaerobes without cellulosome gene clusters."
